,simplified,traditional,pinyin,meaning,hsk,audio_file
0,我是他的朋友。,我是他的朋友。,Wǒ shì tā de péngyou.,I'm a friend of his.,1,0.mp3
1,我有一百块钱。,我有一百塊錢。,Wǒ yǒu yībǎi kuài qián.,I've got one hundred RMB.,1,1.mp3
2,谢谢你。,謝謝你。,Xièxie nǐ.,Thank you.,1,2.mp3
3,这是我家。,這是我家。,Zhè shì wǒ jiā.,This is my house.,1,3.mp3
4,我去公园了。,我去公園了。,Wǒ qù gōngyuán le.,I went to the park.,1,4.mp3
5,请不要大声叫喊。,請不要大聲叫喊。,Qǐng búyào dà shēng jiàohǎn.,Please don't shout.,1,5.mp3
6,他一个人在公司。,他一個人在公司。,Tā yí gè rén zài gōngsī.,He's at the company by himself.,1,6.mp3
7,他走路上班。,他走路上班。,Tā zǒulù shàngbān.,He commutes to work on foot.,1,7.mp3
8,我们在打包东西。,我們在打包東西。,Wǒmen zài dǎbāo dōngxi.,We're packing our stuff.,1,8.mp3
9,你好！,你好！,Nǐ hǎo!,Hello!,1,9.mp3
10,我有一本书。,我有一本書。,Wǒ yǒu yì běn shū.,I have a book.,1,10.mp3
11,这是男厕所。,這是男廁所。,Zhè shì nán cèsuǒ.,This is the men's toilet.,1,11.mp3
12,你会说汉语吗？,你會說漢語嗎？,Nǐ huì shuō Hànyǔ ma?,Can you speak Chinese?,1,12.mp3
13,她在吃饭吗？,她在吃飯嗎？,Tā zài chīfàn ma?,Is she eating now?,1,13.mp3
14,那是什么东西？,那是什麼東西？,Nà shì shénme dōngxi?,What's that?,1,14.mp3
15,请你再说一遍。,請你再說一遍。,Qǐng nǐ zài shuō yí biàn.,Can you please say it again.,1,15.mp3
16,她是我的女儿。,她是我的女兒。,Tā shì wǒ de nǚ'ér.,She's my daughter.,1,16.mp3
17,你在想什么？,你在想什麼？,Nǐ zài xiǎng shénme?,What are you thinking about?,1,17.mp3
18,我有一本书。,我有一本書。,Wǒ yǒu yì běn shū.,I have a book.,1,18.mp3
19,你做得很好。,你做得很好。,Nǐ zuò de hěn hǎo.,You've done great.,1,19.mp3
20,公园里有很多人。,公園裡有很多人。,Gōngyuán li yǒu hěn duō rén.,There are many people in the park.,1,20.mp3
21,那个小孩好可爱。,那個小孩好可愛。,Nàge xiǎohái hǎo kě'ài.,That child is really cute.,1,21.mp3
22,我从美国来。,我從美國來。,Wǒ cóng Měiguó lái.,I'm from America.,1,22.mp3
23,我们全家都喜欢看书。,我們全家都喜歡看書。,Wǒmen quán jiā dōu xǐhuan kànshū.,Everyone in my family likes to read.,1,23.mp3
24,我认识那个人。,我認識那個人。,Wǒ rènshi nàge rén.,I know that person.,1,24.mp3
25,你能说汉语吗？,你能說漢語嗎？,Nǐ néng shuō Hànyǔ ma?,Can you speak Chinese?,1,25.mp3
26,我去公园了。,我去公園了。,Wǒ qù gōngyuán le.,I went to the park.,1,26.mp3
27,我和妈妈去超市。,我和媽媽去超市。,Wǒ hé māma qù chāoshì.,My mom and I are going to the supermarket.,1,27.mp3
28,你做得很好。,你做得很好。,Nǐ zuò de hěn hǎo.,You've done great.,1,28.mp3
29,桌子上有一杯咖啡。,桌子上有一杯咖啡。,Zhuōzi shàng yǒu yī bēi kāfēi.,There is a cup of coffee on the table.,1,29.mp3
30,没有车，他只好走路。,沒有車，他只好走路。,"Méiyǒu chē, tā zhǐhǎo zǒulù.","Without a car, he is forced to walk.",1,30.mp3
31,我们去海边看日出。,我們去海邊看日出。,Wǒmen qù hǎibiān kàn rìchū.,We went to the beach to see the sunrise.,1,31.mp3
32,她怎么了？,她怎麼了？,Tā zěnme le?,What happened to her?,1,32.mp3
33,现在几点钟？,現在幾點鐘？,Xiànzài jǐ diǎn zhōng?,What time is it now?,1,33.mp3
34,已经五点了。,已經五點了。,Yǐjing wǔ diǎn le.,It's already five o'clock.,1,34.mp3
35,两岸是否会统一呢？,兩岸是否會統一呢？,Liǎng'Àn shìfǒu huì tǒngyī ne?,Will the mainland and Taiwan be reunified?,1,35.mp3
36,今天太热了！,今天太熱了！,Jīntiān tài rè le!,It's so hot today!,1,36.mp3
37,他们在图书馆里学习。,他們在圖書館裡學習。,Tāmen zài túshūguǎn lǐ xuéxí.,They're studying in the library.,1,37.mp3
38,她在听音乐。,她在聽音樂。,Tā zài tīng yīnyuè.,She's listening to music.,1,38.mp3
39,是谁发现了万有引力？,是誰發現了萬有引力？,Shì shéi fāxiànle wànyǒu yǐnlì?,Who discovered universal gravitation?,1,39.mp3
40,公园里有很多人。,公園裡有很多人。,Gōngyuán li yǒu hěn duō rén.,There are many people in the park.,1,40.mp3
41,这时候天黑了。,這時候天黑了。,Zhè shíhou tiān hēi le.,The sun went down at this time.,1,41.mp3
